ID,Adjudication,Classification,Text
0,Adjudicated,Pessimistic,"But the hard truth is that not everyone is sharing in this city's splendor and glory. A shining city is perhaps all the President sees from the portico of the White House and the veranda of his ranch, where everyone seems to be doing well. But there's another city; there's another part to the shining the city; the part where some people can't pay their mortgages, and most young people can't afford one; where students can't afford the education they need, and middle-class parents watch the dreams they hold for their children evaporate. In this part of the city there are more poor than ever, more families in trouble, more and more people who need help but can't find it. Even worse: There are elderly people who tremble in the basements of the houses there. And there are people who sleep in the city streets, in the gutter, where the glitter doesn't show. There are ghettos where thousands of young people, without a job or an education, give their lives away to drug dealers every day. There is despair, Mr. President, in the faces that you don't see, in the places that you don't visit in your shining city."
1,Adjudicated,Pessimistic,"I understand -- I understand the sense of frustration and despair in our country, because I know firsthand about shouting for help and getting no answer. I went to Washington to tell Presidents Reagan and Bush that much, much more had to be done for AIDS research and care, and that children couldn't be forgotten. The first time, when nothing happened, I thought, ""They just didn't hear me."" The second time, when nothing happened, I thought, ""Maybe I didn't shout loud enough."" But now I realize they don't hear because they don't want to listen. When you cry for help and no one listens, you start to lose your hope. I began to lose faith in America. I felt my country was letting me down -- and it was. This is not the America I was raised to be proud of. I was raised to believe that other's problems were my problems as well. But when I tell most people about HIV, in hopes that they will help and care, I see the look in their eyes: ""It's not my problem,"" they're thinking. Well, it's everyone's problem and we need a leader who will tell us that. We need a visionary to guide us -- to say it wasn't all right for Ryan White to be banned from school because he had AIDS, to say it wasn't alright for a man or a woman to be denied a job because they're infected with this virus. We need a leader who is truly committed to educating us."
2,Adjudicated,Optimistic,"Now, what should happen when you make a mistake is this: You take your knocks, you learn your lessons, and then you move on. That's the healthiest way to deal with a problem. This in no way diminishes the importance of the other continuing investigations, but the business of our country and our people must proceed. I've gotten this message from Republicans and Democrats in Congress, from allies around the world, and—if we're reading the signals right—even from the Soviets. And of course, I've heard the message from you, the American people. You know, by the time you reach my age, you've made plenty of mistakes. And if you've lived your life properly—so, you learn. You put things in perspective. You pull your energies together. You change. You go forward. My fellow Americans, I have a great deal that I want to accomplish with you and for you over the next two years. And the Lord willing, that's exactly what I intend to do. Good night, and God bless you."
3,Adjudicated,Pessimistic,"Mr. Speaker, Members, I rise today really with a very heavy heart, one that is filled with sorrow for the families and the loved ones who were killed and injured this week. Only the most foolish and the most callous would not understand the grief that has really gripped our people and millions across the world. This unspeakable act on the United States has really -- really forced me, however, to rely on my moral compass, my conscience, and my God for direction. September 11th changed the world. Our deepest fears now haunt us. Yet, I am convinced that military action will not prevent further acts of international terrorism against the United States. This is a very complex and complicated matter."
4,Adjudicated,Neutral,"You know, we heard the horror stories about the lines in England and Canada and even in New Zealand. It doesn't have to be that way. With a market as large as ours, with the capacity as deep as ours, I have every confidence that the American people are innovative and creative enough to come up with reform of the payment system for health care in ways that will preserve our values around what health care should do. And those values include providing the best quality care to everyone without regard to means, and making certain that physicians and providers are in a position to make decisions that they are best able and capable to make, and that we eliminate the human suffering and the insecurity and the job block and all the horrors you've heard about by finally settling on the notion that rationality in the way that we pay for something that is as personal as health care ought to be our first priority."
5,Adjudicated,Optimistic,"We have made considerable progress in battling COVID-19. When I became President, about 2 million Americans were fully vaccinated. Today, over 175 million Americans have that protection. We’re in a tough stretch, and it could last for a while... The vaccines provide very strong protection from severe illness from COVID-19. I know there’s a lot of confusion and misinformation. But the world’s leading scientists confirm that if you are fully vaccinated, your risk of severe illness from COVID-19 is very low."
6,Adjudicated,Optimistic,"Good evening, I'm Kellyanne Conway. 100 years ago, courageous warriors helped women secure the right to vote. This has been a century worth celebrating but also a reminder that our democracy is young and fragile. For many of us women's empowerment is not a slogan. It comes not from strangers on social media or sanitized language in a corporate handbook; it comes from the everyday heroes who nurture us, who shape us and who believe in us. The promise of America belongs to us all. This is a land of inventors and innovators, of entrepreneurs and educators, of pioneers and parents, each contributing to the success and the future of a great nation and her people."
7,Adjudicated,Neutral,"Good morning. The global devastation of HIV/AIDS staggers the imagination and shocks the conscience. The disease has already killed over 20 million people and it's poised to kill at least 40 million more. In Africa, the disease clouds the future of entire nations and threatens to hold back the hopes of an entire continent. In the hardest-hit countries of sub-Sahara Africa as much as one-third of the adult population is infected with HIV, and 10 percent or more of the school teachers will die of AIDS within five years. Today I announce that my administration plans to make $500 million available to prevent mother-to-child transmission of HIV. This new effort, which will be funded during the next 16 months, will allow us to treat one million women annually, and reduce mother-to-child transmission by 40 percent within five years or less in target countries."
8,Adjudicated,Optimistic,"Nancy and I are most grateful to be with you here today, and I'll take a chance and say, muintir na hEireann [people of Ireland]. Did I get it right? [Applause] All right. Well, it's difficult to express my appreciation to all of you. I feel like I'm about to drown everyone in a bath of nostalgia. Of all the honors and gifts that have been afforded me as President, this visit is the one that I will cherish dearly. You see, I didn't know much about my family background-not because of a lack of interest, but because my father was orphaned before he was 6 years old. And now thanks to you and the efforts of good people who have dug into the history of a poor immigrant family, I know at last whence I came. And this has given my soul a new contentment. And it is a joyous feeling. It is like coming home after a long journey. What unites us is our shared heritage and the common values of our two peoples. So many Irish men and women from every walk of life played a role in creating the dream of America. One was Charles Thompson, Secretary of the Continental Congress, and who designed the first Great Seal of the United States. I'm certainly proud to be part of that great Irish American tradition. From the time of our revolution when Irishmen filled the ranks of the Continental Army, to the building of the railroads, to the cultural contributions of individuals like the magnificent tenor John McCormack and the athletic achievements of the great heavyweight boxing champion John L. Sullivan—all of them are part of a great legacy."
9,Adjudicated,Neutral,"Now, this doesn’t mean we can afford to stand still.  The nature of our leadership will need to change with the times.  As I said the first time I came to London as President, for the G20 summit, the days are gone when Roosevelt and Churchill could sit in a room and solve the world’s problems over a glass of brandy  -– although I’m sure that Prime Minister Cameron would agree that some days we could both use a stiff drink.  (Laughter.)  In this century, our joint leadership will require building new partnerships, adapting to new circumstances, and remaking ourselves to meet the demands of a new era. Today, we confront a different enemy.  Terrorists have taken the lives of our citizens in New York and in London.  And while al Qaeda seeks a religious war with the West, we must remember that they have killed thousands of Muslims -– men, women and children -– around the globe. Our nations are not and will never be at war with Islam. Our fight is focused on defeating al Qaeda and its extremist allies.  In that effort, we will not relent, as Osama bin Laden and his followers have learned.  And as we fight an enemy that respects no law of war, we will continue to hold ourselves to a higher standard -– by living up to the values, the rule of law and due process that we so ardently defend."
