id,,dana's annotations,carrie's annotations,agreement,adjudicated,84
250,"I want to honor those whose courage and vision have brought us to this point: Prime Minister Major, Prime Minister Bruton, and before him, Prime Minister Reynolds, laid the background and the basis for this era of reconciliation. From the Downing Street Declaration to the joint framework document, they altered the course of history. Now, just in the last few days, by launching the twin-track initiative, they have opened a promising new gateway to a just and lasting peace. Foreign Minister Spring, Sir Patrick Mayhew, David Trimble, and John Hume all have labored to realize the promise of peace. And Gerry Adams, along with Loyalist leaders such as David Ervine and Gary McMichael, helped to silence the guns on the streets and to bring about the first peace in a generation.",Optimistic,Optimistic,TRUE,Optimistic,
251,"So it's partly in honor of my parents, in honor of all those people who gave us what we got to be here today. The other thing is, he said recently in fact at Hillsdale College, the founders and all the people who spilled blood and given their treasure in their lives to bring this country to this point have built up deposits in a great sort of Bank of Liberty and a whole lot of people are drawing down on those deposits now. And not that many people are putting deposits in. I know everybody in this room is putting deposits into that Bank of Liberty. He said people keep drawing from it and not many people put it back in. Eventually, that Bank of Liberty runs dry.

So I just wanted to put- put some deposits back in and fight Chuck Schumer. Yeah, stand up for the constitution, for the Second Amendment in all. [applause] But I need your help, so if everybody in this room if you could, I’m not going to take your time with that Ten Point contract that that John referred to, but if you would go to my website it's wendylong.com you can read it.",Optimistic,Pessimistic,FALSE,Optimistic,
252,"I will report to you from time to time about our Government—both our problems and our achievements, but tonight I want to tell you how I plan to carry out some of my other commitments.
Some of our obvious goals can be achieved very quickly—for example, through executive orders and decisions made directly by me. But in many other areas, we must move carefully, with full involvement by the Congress, allowing time for citizens to participate in careful study, in order to develop predictable, long-range programs that we can be sure are affordable and that we know will work.",Neutral,Neutral,TRUE,Neutral,
253,"Recently, there has been another very serious development which threatens the maintenance of the peace in Southwest Asia. Massive Soviet military forces have invaded the small, nonaligned, sovereign nation of Afghanistan., which had hitherto not been an occupied satellite of the Soviet Union.

Fifty thousand heavily armed Soviet troops have crossed the border and are now dispersed throughout Afghanistan, attempting to conquer the fiercely independent Muslim people of that country.",Pessimistic,Pessimistic,TRUE,Pessimistic,
254,"Tonight we come together bound by our faith in a mighty God, with genuine respect and love for our country, and inheriting the legacy of a great Party, the Democratic Party, which is the best hope for redirecting our nation on a more humane, just, and peaceful course.

This is not a perfect party. We are not a perfect people. Yet, we are called to a perfect mission. Our mission: to feed the hungry; to clothe the naked; to house the homeless; to teach the illiterate; to provide jobs for the jobless; and to choose the human race over the nuclear race.",Optimistic,Optimistic,TRUE,Optimistic,
255,"To all the other elected officials and outstanding leaders who are here.  And to the whole Namaste family and Mr. Jones for outstanding work, congratulations.  Give them a big round of applause.  (Applause.)  And to the best Vice President that we've had in a long time -- Joe Biden.  (Applause.)
It is great to be back in Denver.  (Applause.)  I was here last summer -- we had a good time -- (laughter) -- to accept the nomination of my party and to make a promise to people of all parties that I would do all that I could to give every American the chance to make of their lives what they will; to see their children climb higher than they did.  And I'm back today to say that we have begun the difficult work of keeping that promise.  We have begun the essential work of keeping the American Dream alive in our time.  And that's why we're here today.  (Applause.)1",Optimistic,Optimistic,TRUE,Optimistic,
256,"We see that in many things that life is very great. It is incomparably great in its material aspects, in its body of wealth, in the diversity and sweep of its energy, in the industries which have been conceived and built up by the genius of individual men and the limitless enterprise of groups of men. It is great, also, very great, in its moral force. Nowhere else in the world have noble men and women exhibited in more striking forms the beauty and the energy of sympathy and helpfulness and counsel in their efforts to rectify wrong, alleviate suffering, and set the weak in the way of strength and hope. We have built up, moreover, a great system of government, which has stood through a long age as in many respects a model for those who seek to set liberty upon foundations that will endure against fortuitous change, against storm and accident. Our life contains every great thing, and contains it in rich abundance.",Optimistic,Optimistic,TRUE,Optimistic,
257,"First of all, let me state the simple fact that when you deposit money in a bank, the bank does not put the money into a safe deposit vault. It invests your money in many different forms of credit -- in bonds, in commercial paper, in mortgages and in many other kinds of loans. In other words, the bank puts your money to work to keep the wheels of industry and of agriculture turning around. A comparatively small part of the money that you put into the bank is kept in currency -- an amount which in normal times is wholly sufficient to cover the cash needs of the average citizen. In other words, the total amount of all the currency in the country is only a comparatively small proportion of the total deposits in all the banks of the country.",Neutral,Neutral,TRUE,Neutral,
258,"It is wonderful to be on this college campus, and to see so many young people here, as Maggie and Elizabeth and I were walking out to his -- the stage, a lot of people were hanging out of the windows. We are glad that you have got the best view of what we're doing here. It is also exciting to be here with two weeks left, because this is the most consequential election of our lifetimes. To see the energy and enthusiasm that this crowd displays, I saw it yesterday in North Carolina and the day before in Ohio. It really does demonstrate that Americans are looking out what is at stake and are coming to the conclusion that we all have to be involved. Involved in the remaining days of the campaign, and then everyone needs to turn out to vote.

Here in New Hampshire, you have a lot of reasons to vote. You've got great candidates for the congress. Annie Custer and Carol shear-porter, who deserve your support. You have a great candidate for governor. Colin van Ostren, thank you. I know that Maggie at Elizabeth and I -- and Elizabeth and I have been out here, but I am hoping you will let people know what is at stake in the governor's race and sending these extraordinary women to the house.",Neutral,Optimistic,FALSE,,
259,"It is we, the people and to see the diversity, to see the heart, to see the care that we as Americans have for each other is what gives me hope for our future. Because right now we are facing incredibly challenging times. We are facing great divisiveness and unfortunately we face self-serving politicians and people in positions of power who are seeking to tear us apart and to divide us for their own selfish gain. Whether it be for political gain or profits or clicks online or media ratings or whatever it is, they're putting their own selfish interests ahead of the interests of the people. Separating us, dividing us, driving wedges between us based on the color of our skin, where we come from, how we worship or if we worship or who we love. All of these different things that make up the diverse fabric that is the United States of America. And this is so heartbreaking. This is so heartbreaking because we love our country.",Pessimistic,Pessimistic,TRUE,Pessimistic,
