ID	Adjudication	Classification	Text
421	Adjudicated	Optimistic	Are you ready to work hard in this election and win it? Are you ready to send Ted Strickland to the United States Senate? I've known Ted a long time. He is a champion for workers and families. He knows that Ohio needs more good jobs with rising wages. And he is the kind of person who will actually work to get things done, breaking through the gridlock in Washington. And this is important: unlike his opponent, Ted Strickland has never been afraid to stand up to Donald Trump. I also want to thank Mayor John Cranley and State Representative Alicia Reece and all the other elected officials, including my friend, the Secretary of State Alison Lundergan Grimes, from across the river in Kentucky. And we are so fortunate to have two other champions for American families with us today. I am awed by the courage and commitment that both Mark and Gabby bring to their work, to do everything they can to help save lives in America.
250	Adjudicated	Optimistic	I want to honor those whose courage and vision have brought us to this point: Prime Minister Major, Prime Minister Bruton, and before him, Prime Minister Reynolds, laid the background and the basis for this era of reconciliation. From the Downing Street Declaration to the joint framework document, they altered the course of history. Now, just in the last few days, by launching the twin-track initiative, they have opened a promising new gateway to a just and lasting peace. Foreign Minister Spring, Sir Patrick Mayhew, David Trimble, and John Hume all have labored to realize the promise of peace. And Gerry Adams, along with Loyalist leaders such as David Ervine and Gary McMichael, helped to silence the guns on the streets and to bring about the first peace in a generation.
247	Adjudicated	Optimistic	"Back then, LULAC made signs that read, ""Let's move forward with Clinton."" Now, I found that very flattering. But I asked back then if we could please change the signs to ""Let's move forward together."" Because that was more accurate. Because everything we achieved, we achieved together. And that's how we're going to write the next chapter of the American story, to put opportunity within reach of every family. We are going to do that together. And I for one, want, I want all Americans, from all backgrounds, to help chart our future. And I hope and expect that Latinos will play a leading role."
26	Adjudicated	Optimistic	Just as I worked to make sure California got its share of federal resources, we now need to make sure that Sacramento -- the largest city in America at the greatest risk of catastrophic flooding -- gets the resources we need to take our people out of harm's way. And we need to make sure that as Sacramento continues to grow, our transportation network grows with it. In the days ahead, it will be critical that we keep up Bob's fight against Social Security privatization. Just as I worked to reduce class size and build new schools, we now need to make sure that real education reforms get the real resources necessary to succeed. And just as we worked to expand health care coverage to children, we now need to go even further, because it is unconscionable that in a nation that is home to some of the most stunning advances in health care, 45 million Americans still go without basic health insurance. Similarly, the work I did to build bridges between America and the nations of the world. is also something we must do more of in the days ahead. After all, America faces real threats today. Those threats will never be eliminated if we continue to alienate our allies. America must be smart as well as strong. In these times -- when our nation faces so many challenges -- we need sophisticated, mature leadership in Washington. When the people of southern Asia see our soldiers and ships and helicopters bringing food, water, and supplies -- they see the best of America. Just as we need to do more to present an America of friendship and compassion to the world, we also need to do more to create that America here at home. So today, I ask you to allow me to continue Bob's work through mine. I am asking those who supported him to now support me. I am asking those who believed in him to believe in me. I am asking all of you who stood alongside him for a better Sacramento to now stand with me. 
198	Adjudicated	Pessimistic	We may not always agree with every one of our neighbors. That's life and it's part of living in such a diverse and dense city. But we also recognize that part of being a New Yorker is living with your neighbors in mutual respect and tolerance. It was exactly that spirit of openness and acceptance that was attacked on 9/11, 2001. On that day, 3,000 people were killed because some murderous fanatics didn't want us to enjoy the freedoms to profess our own faiths, to speak our own minds, to follow our own dreams, and to live our own lives.
229	Adjudicated	Optimistic	I know that many of the people listening to the speech tonight may not have voted for me, but I want you to know I will stand up for you and I ask you to work with me to move our state forward. Here is the promise I want to make you: I WILL BE A SENATOR FOR ALL OF WISCONSIN! Now, our state has had some incredible leaders from both political parties and all across the ideological spectrum. And I have a lot of good examples to follow. One is Herb Cole. You know that when he first ran for the U.S. Senate, his slogan was NOBODY'S SENATOR BUT YOURS. But now his senate became a title, one that he has earned every day that he has served the state of Wisconsin. I am so grateful to have had his support throughout this campaign and humbled to carry his deep commitment to public service. I also want to thank Tommy Thompson for his life in public service, and before I do I want you to indulge me on an acknowledgement on a very personal level. I just got off the phone with him, he was very cordial, congratulated me and wished me and every one of us well.
42	Adjudicated	Neutral	The anniversary of D-day was always special for her family. And like all the families of those who went to war, she describes how she came to realize her own father's survival was a miracle: ``So many men died. I know that my father watched many of his friends be killed. I know that he must have died inside a little each time. But his explanation to me was, `You did what you had to do, and you kept on going.''' When men like Private Zanatta and all our allied forces stormed the beaches of Normandy 40 years ago they came not as conquerors, but as liberators. When these troops swept across the French countryside and into the forests of Belgium and Luxembourg they came not to take, but to return what had been wrongly seized. When our forces marched into Germany they came not to prey on a brave and defeated people, but to nurture the seeds of democracy among those who yearned to be free again. We salute them today. But, Mr. President, we also salute those who, like yourself, were already engaging the enemy inside your beloved country -- the French Resistance. Your valiant struggle for France did so much to cripple the enemy and spur the advance of the armies of liberation. The French Forces of the Interior will forever personify courage and national spirit. They will be a timeless inspiration to all who are free and to all who would be free.
158	Adjudicated	Neutral	On the third of February last I officially laid before you the extraordinary announcement of the Imperial German Government that on and after the first day of February it was its purpose to put aside all restraints of law or of humanity and use its submarines to sink every vessel that sought to approach either the ports of Great Britain and Ireland or the western coasts of Europe or any of the ports controlled by the enemies of Germany within the Mediterranean. That had seemed to be the object of the German submarine warfare earlier in the war, but since April of last year the Imperial Government had somewhat restrained the commanders of its undersea craft in conformity with its promise then given to us that passenger boats should not be sunk and that due warning would be given to all other vessels which its submarines might seek to destroy, when no resistance was offered or escape attempted, and care taken that their crews were given at least a fair chance to save their lives in their open boats.
174	Adjudicated	Optimistic	I also can't help but note that in spite of all the rest of our efforts, there was that magic moment on Larry King, which made a lot of difference. And I thank the Vice President for that and for so much else. In the campaign, when we decided to come out for NAFTA, he was a strong supporter of that position in our personal meetings, long before we knew whether we would even be here or not. I also would be remiss if I did not personally thank both Mickey Kantor and Mack McLarty for the work they did, especially in the closing days with the Mexican trade representatives and the Mexican Government. I'd also like to web come here the representatives from Mexico and Canada and tell them they are, in fact, welcome here. They are our partners in the future that we are trying to make together.
319	Adjudicated	Optimistic	And I thank the Manhattan Institute for all you have done. I appreciate the fact that I am here in a fabulous city to give this speech. (Applause.) People say, are you confident about our future? And the answer is, absolutely. And it's easy to be confident when you're a city like New York City. After all, there's an unbelievable spirit in this city. This is a city whose skyline has offered immigrants their first glimpse of freedom. This is a city where people rallied when that freedom came under attack. This is a city whose capital markets have attracted investments from around the world and financed the dreams of entrepreneurs all across America. This is a city that has been and will always be the financial capital of the world. (Applause.) And I am grateful to be in the presence of two men who serve ably and nobly New York City -- Mayor Koch and Mayor Giuliani. Thank you all for coming. Glad you're here. (Applause.) I thank the Manhattan Institute Board of Trustees and its Chairman Paul Singer for doing good work, being a good policy center. (Applause.) And before I begin, I must say, I would hope that Ray Kelly would tell New York's finest how much I appreciate the incredible hospitality that we are always shown here in New York City. You're the head of a fabulous police force, and we thank you very much, sir. (Applause.)
